bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
63,19980407121338,pre_release,VERIFIED,NO,NO,20120802084744,
71,19980407125041,pre_release,VERIFIED,NO,NO,20120807080821,
103,19980407184326,pre_release,VERIFIED,YES,NO,20130223072858,
178,19980413110519,pre_release,VERIFIED,NO,NO,20111222004729,src/org/mozilla/javascript/Parser.java testsrc/org/mozilla/javascript/tests/ParserTest.java
428,19980608020336,pre_release,VERIFIED,NO,NO,20111222004636,src/org/mozilla/javascript/Parser.java testsrc/org/mozilla/javascript/tests/ParserTest.java
598,19980803070000,pre_release,VERIFIED,NO,NO,20111222004805,src/org/mozilla/javascript/Parser.java
6063,19990311080000,pre_release,RESOLVED,NO,NO,20000301213538,org/mozilla/javascript/NativeFunction.java src/org/mozilla/javascript/NativeFunction.java
6313,19990512103929,1.4R3,VERIFIED,NO,NO,19990518231016,org/mozilla/javascript/Context.java org/mozilla/javascript/FlattenedObject.java org/mozilla/javascript/Function.java org/mozilla/javascript/FunctionObject.java org/mozilla/javascript/Interpreter.java org/mozilla/javascript/JavaAdapter.java org/mozilla/javascript/NativeFunction.java org/mozilla/javascript/NativeScript.java org/mozilla/javascript/ScriptRuntime.java org/mozilla/javascript/ScriptableObject.java org/mozilla/javascript/tools/shell/Main.java src/org/mozilla/javascript/Context.java src/org/mozilla/javascript/FlattenedObject.java src/org/mozilla/javascript/Function.java src/org/mozilla/javascript/FunctionObject.java src/org/mozilla/javascript/Interpreter.java src/org/mozilla/javascript/JavaAdapter.java src/org/mozilla/javascript/NativeFunction.java src/org/mozilla/javascript/NativeScript.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/ScriptableObject.java toolsrc/org/mozilla/javascript/tools/shell/Main.java
6359,19990513165831,1.4R3,VERIFIED,NO,NO,19990526222832,org/mozilla/javascript/regexp/NativeRegExp.java src/org/mozilla/javascript/regexp/NativeRegExp.java
6705,19990518154649,1.4R3,VERIFIED,NO,NO,19990526195551,org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/ScriptRuntime.java
7625,19990604143755,1.4R3,RESOLVED,NO,NO,19990610015425,org/mozilla/javascript/NativeArray.java org/mozilla/javascript/NativeFunction.java org/mozilla/javascript/NativeNumber.java org/mozilla/javascript/ScriptRuntime.java org/mozilla/javascript/resources/Messages.properties src/org/mozilla/javascript/NativeArray.java src/org/mozilla/javascript/NativeFunction.java src/org/mozilla/javascript/NativeNumber.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/resources/Messages.properties
