bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
12287,20020326104953,1.0,RESOLVED,NO,NO,20040506104446 20040506154458,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/ParserTest.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/diagnose/DiagnoseParser.java
13084,20020409123316,1.0,RESOLVED,NO,NO,20020411231550,
14468,20020423200054,1.0,VERIFIED,NO,NO,20020527155839,
14597,20020425085152,1.0,VERIFIED,NO,NO,20030128190157 20030129002751 20030130222001 20030131181508 20030131184209,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/core/util/CompilationUnitSorter.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SortElementBuilder.java
15036,20020501153409,1.0,RESOLVED,NO,NO,20020501235141,
16354,20020518111745,1.0,VERIFIED,YES,NO,20020527113747,
17531,20020523183415,1.0,RESOLVED,NO,NO,20070228093332,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/BufferCache.java
19063,20020604102546,1.0,VERIFIED,NO,NO,20030121102405,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/CompletionParserTest.java org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/DietCompletionTest.java org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/TestAll.java org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core.tests.model/workspace/Completion/.classpath org.eclipse.jdt.core.tests.model/workspace/Completion/src/CompletionEndOfCompilationUnit.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnSingleNameReference.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionParser.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/AssistParser.java
19254,20020605015751,1.0,VERIFIED,NO,NO,20020605095434,
20309,20020613212548,1.0,VERIFIED,NO,NO,20020614155617,
21957,20020726110518,2.0,VERIFIED,NO,NO,20021031185057,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/RenameTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/CopyResourceElementsOperation.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/CreatePackageFragmentOperation.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/PackageFragmentRoot.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/Util.java
