bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
310545,20100426165720,R.3.3.3,NEW,NO,NO,20121208222420 20121215200524,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
317907,20100624230441,R.3.4.0,NEW,NO,NO,20111223185037 20120114135034 20120115001341 20120115002902 20120117225555,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
321278,20100729193700,R.3.4.2,NEW,NO,NO,20111108214527,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.docs
321538,20100802170600,R.3.4.2,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
322855,20100816185200,R.3.4.2,RESOLVED,NO,NO,20130703141633,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
324060,20100831034700,R.3.4.2,RESOLVED,NO,NO,20110829022526,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
324327,20100902120700,R.3.4.2,RESOLVED,NO,NO,20120921153408 20121015183629 20121101215947 20121108213909,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
325006,20100910152800,R.3.4.2,RESOLVED,NO,NO,20131113230314,org.eclipse.mylyn.commons org.eclipse.mylyn.docs org.eclipse.mylyn.tasks
325300,20100914191800,R.3.4.2,RESOLVED,NO,NO,20111214165243,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
326119,20100924032600,R.3.4.2,RESOLVED,NO,NO,20131007185943 20131015063859,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
327249,20101007111200,R.3.4.2,RESOLVED,NO,NO,20111105202922 20111107195259 20111124161958,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
327432,20101011064100,R.3.4.2,RESOLVED,NO,NO,20120316010809 20120320082645,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
328090,20101018235500,R.3.4.2,RESOLVED,NO,NO,20120301212937,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
328204,20101020001100,R.3.4.2,RESOLVED,NO,NO,20120127024006,.gitignore org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.docs
329528,20101105071700,R.3.4.2,RESOLVED,NO,NO,20130405015650,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
330167,20101113071400,R.3.4.2,RESOLVED,NO,NO,20111019134153,org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
330695,20101119133500,R.3.4.2,RESOLVED,NO,NO,20131018185234 20131125230601,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
331515,20101201042000,R.3.4.2,RESOLVED,NO,NO,20130116231817,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
332122,20101208081600,R.3.4.2,RESOLVED,NO,NO,20120229175638 20120301110814,org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
332747,20101216102400,R.3.4.2,RESOLVED,NO,NO,20110829022526,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
332760,20101216112800,R.3.4.2,RESOLVED,NO,NO,20111020002542,org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
333930,20110110200500,R.3.4.2,RESOLVED,YES,NO,20120216003216,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
334024,20110111142800,R.3.4.2,VERIFIED,NO,NO,20121101215947,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
334159,20110112143000,R.3.4.2,RESOLVED,NO,NO,20110829022526,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
334967,20110120200100,R.3.4.2,RESOLVED,NO,NO,20130201010647,org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
335254,20110124164400,R.3.4.2,RESOLVED,NO,NO,20111223185037 20120111152635,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
335790,20110130085400,R.3.4.2,RESOLVED,YES,NO,20120727230355,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.tasks
336430,20110205184800,R.3.4.2,RESOLVED,NO,NO,20110817160010 20110824192216 20111013214814,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
