bugID,opened_date,status,inheritance,overriding,fixed_date,modified_files,added_files,deleted_files
489329,20090421060241,RESOLVED,NO,NO,20090527164712 20090605120840 20090728015941 20090802014040 20091222130353,src/org/mozilla/javascript/BaseFunction.java src/org/mozilla/javascript/IdScriptableObject.java src/org/mozilla/javascript/NativeObject.java src/org/mozilla/javascript/ScriptableObject.java src/org/mozilla/javascript/regexp/NativeRegExp.java src/org/mozilla/javascript/regexp/NativeRegExpCtor.java src/org/mozilla/javascript/resources/Messages.properties testsrc/doctests/object.freeze.doctest,testsrc/doctests/object.defineproperty.doctest testsrc/doctests/object.extensible.doctest testsrc/doctests/object.getownpropertydescriptor.doctest testsrc/doctests/object.getownpropertynames.doctest testsrc/doctests/object.getprototypeof.doctest testsrc/doctests/object.keys.doctest testsrc/doctests/util.js testsrc/org/mozilla/javascript/tests/Evaluator.java testsrc/org/mozilla/javascript/tests/es5/ObjectGetOwnPropertyDescriptorTest.java testsrc/org/mozilla/javascript/tests/es5/ObjectGetOwnPropertyNamesTest.java testsrc/org/mozilla/javascript/tests/es5/ObjectKeysTest.java,
491621,20090505185147,RESOLVED,NO,NO,20120320205412,src/org/mozilla/javascript/Parser.java src/org/mozilla/javascript/ast/VariableDeclaration.java,testsrc/org/mozilla/javascript/tests/Bug491621Test.java,
492036,20090508073119,RESOLVED,NO,NO,20090603144713,src/org/mozilla/javascript/Parser.java,,
492359,20090511065447,RESOLVED,NO,NO,20090511152608,src/org/mozilla/javascript/NativeArray.java src/org/mozilla/javascript/NativeString.java,testsrc/org/mozilla/javascript/tests/NativeStringTest.java,
492367,20090511080136,RESOLVED,NO,NO,20090704121449,src/org/mozilla/javascript/Interpreter.java,testsrc/org/mozilla/javascript/tests/StackTraceTest.java,
492525,20090512050005,RESOLVED,YES,NO,20090520122628,src/org/mozilla/javascript/NativeArray.java,testsrc/org/mozilla/javascript/tests/Bug492525Test.java,
492538,20090512071329,RESOLVED,NO,NO,20090522201945,build.xml,testsrc/benchmarks/v8/base.js testsrc/benchmarks/v8/crypto.js testsrc/benchmarks/v8/deltablue.js testsrc/benchmarks/v8/earley-boyer.js testsrc/benchmarks/v8/raytrace.js testsrc/benchmarks/v8/regexp.js testsrc/benchmarks/v8/richards.js testsrc/benchmarks/v8/run.js testsrc/benchmarks/v8/splay.js,
494665,20090524031733,RESOLVED,NO,NO,20090606141124,src/org/mozilla/javascript/ClassCache.java src/org/mozilla/javascript/JavaMembers.java,,
495785,20090601085224,RESOLVED,NO,NO,20090602014415,toolsrc/org/mozilla/javascript/tools/shell/ShellLine.java,,
496585,20090605085551,RESOLVED,NO,NO,20090609174345,src/org/mozilla/javascript/NativeJavaMethod.java,testsrc/doctests/467396.doctest testsrc/org/mozilla/javascript/tests/Bug496585.java,
501972,20090702085909,RESOLVED,NO,NO,20090703012120,src/org/mozilla/javascript/NativeGlobal.java,testsrc/org/mozilla/javascript/tests/GlobalParseXTest.java,
505211,20090720054303,RESOLVED,NO,NO,20090722121511,src/org/mozilla/javascript/NativeArray.java src/org/mozilla/javascript/ScriptRuntime.java testsrc/org/mozilla/javascript/tests/NativeArrayTest.java,src/org/mozilla/javascript/NativeJSON.java src/org/mozilla/javascript/json/JsonLexer.java src/org/mozilla/javascript/json/JsonParser.java testsrc/org/mozilla/javascript/tests/json/JsonLexerTest.java testsrc/org/mozilla/javascript/tests/json/JsonParserTest.java,
505299,20090720121320,RESOLVED,NO,NO,20090721165511,src/org/mozilla/javascript/NativeString.java,,
505463,20090721092017,RESOLVED,NO,NO,20090726023536,src/org/mozilla/javascript/NativeDate.java src/org/mozilla/javascript/resources/Messages.properties testsrc/doctests/util.js,testsrc/doctests/date.toisostring.doctest,
505524,20090721123242,RESOLVED,NO,NO,20090727020421,src/org/mozilla/javascript/NativeDate.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/resources/Messages.properties,testsrc/doctests/date.tojson.doctest,
505862,20090722140759,RESOLVED,NO,NO,20090724012612,src/org/mozilla/javascript/NativeArray.java,testsrc/doctests/array.isarray.doctest,
505890,20090722155343,RESOLVED,YES,NO,20090725122749,src/org/mozilla/javascript/NativeString.java,testsrc/doctests/string.trim.doctest,
506436,20090725011244,RESOLVED,NO,NO,20090728024915,src/org/mozilla/javascript/BaseFunction.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/resources/Messages.properties,src/org/mozilla/javascript/BoundFunction.java testsrc/doctests/function.bind.doctest,
506859,20090727234546,RESOLVED,NO,NO,20090728124136,src/org/mozilla/javascript/NativeGlobal.java,,
506910,20090728070910,RESOLVED,NO,NO,20090830014126,src/org/mozilla/javascript/NativeGlobal.java,,
506940,20090728091040,RESOLVED,NO,NO,20090803021633 20091127204023,src/org/mozilla/javascript/NativeArray.java,,
507069,20090728185450,RESOLVED,NO,NO,20090914221525,src/org/mozilla/javascript/BaseFunction.java testsrc/opt-1.tests testsrc/opt0.tests testsrc/opt9.tests,,
507104,20090729021959,RESOLVED,NO,NO,20090802013759,src/org/mozilla/javascript/regexp/NativeRegExp.java,,
508185,20090803205609,RESOLVED,NO,NO,20090830020529,src/org/mozilla/javascript/NativeGlobal.java src/org/mozilla/javascript/ScriptRuntime.java testsrc/org/mozilla/javascript/tests/DoctestsTest.java,testsrc/doctests/eval.doctest,
508527,20090805043245,RESOLVED,NO,NO,20090815213340,src/org/mozilla/javascript/ScriptRuntime.java,testsrc/doctests/array.length.doctest,
508557,20090805072527,RESOLVED,NO,NO,20111118131527,src/org/mozilla/javascript/CodeGenerator.java src/org/mozilla/javascript/Icode.java src/org/mozilla/javascript/Interpreter.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/optimizer/Codegen.java,,
508771,20090806034338,RESOLVED,NO,NO,20090815215329,src/org/mozilla/javascript/NativeDate.java,testsrc/doctests/date.parse.doctest,
508795,20090806063401,RESOLVED,NO,NO,20091017192459,src/org/mozilla/javascript/NativeError.java testsrc/opt-1.tests testsrc/opt0.tests testsrc/opt9.tests,testsrc/doctests/error.tostring.doctest,
508964,20090806214254,RESOLVED,NO,NO,20091018023448,src/org/mozilla/javascript/Arguments.java src/org/mozilla/javascript/ScriptableObject.java testsrc/opt-1.tests testsrc/opt0.tests testsrc/opt9.tests,testsrc/doctests/arguments.doctest,
509036,20090807080217,RESOLVED,NO,NO,20120426110307,src/org/mozilla/javascript/regexp/NativeRegExp.java,,
509678,20090811030645,RESOLVED,NO,NO,20090812092725,src/org/mozilla/javascript/json/JsonParser.java testsrc/org/mozilla/javascript/tests/json/JsonParserTest.java,,src/org/mozilla/javascript/json/JsonLexer.java testsrc/org/mozilla/javascript/tests/json/JsonLexerTest.java
510443,20090814005239,RESOLVED,NO,NO,20090830235034,src/org/mozilla/javascript/NativeGlobal.java src/org/mozilla/javascript/NativeString.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/TokenStream.java src/org/mozilla/javascript/regexp/NativeRegExp.java,testsrc/doctests/controlchars.doctest testsrc/doctests/whitespace.doctest,
510504,20090814071411,RESOLVED,NO,NO,20090814151447,src/org/mozilla/javascript/ScriptRuntime.java,testsrc/org/mozilla/javascript/tests/DeletePropertyTest.java,
513369,20090828161209,RESOLVED,NO,NO,20090921202213,src/org/mozilla/javascript/ScriptableObject.java,src/org/mozilla/javascript/annotations/JSConstructor.java src/org/mozilla/javascript/annotations/JSFunction.java src/org/mozilla/javascript/annotations/JSGetter.java src/org/mozilla/javascript/annotations/JSSetter.java src/org/mozilla/javascript/annotations/JSStaticFunction.java testsrc/org/mozilla/javascript/tests/DefineClassTest.java,
513549,20090830032011,RESOLVED,NO,NO,20090830103706 20091201045016,src/org/mozilla/javascript/json/JsonParser.java testsrc/org/mozilla/javascript/tests/json/JsonParserTest.java,,
513682,20090831072531,RESOLVED,NO,NO,20100330100632,src/org/mozilla/javascript/Synchronizer.java toolsrc/org/mozilla/javascript/tools/resources/Messages.properties toolsrc/org/mozilla/javascript/tools/shell/Global.java,,
517861,20090921045940,RESOLVED,NO,NO,20091023094959,src/manifest,,
519692,20090930063007,RESOLVED,NO,NO,20091009172716,src/org/mozilla/javascript/IRFactory.java testsrc/opt-1.tests testsrc/opt0.tests testsrc/opt9.tests,testsrc/org/mozilla/javascript/tests/DecompileTest.java,
519933,20091001023246,RESOLVED,NO,NO,20091023102249 20091023152814,src/org/mozilla/javascript/Context.java src/org/mozilla/javascript/ContextFactory.java src/org/mozilla/javascript/ScriptableObject.java,testsrc/org/mozilla/javascript/tests/WriteReadOnlyPropertyTest.java,
519939,20091001030532,RESOLVED,NO,NO,20091023124956,toolsrc/org/mozilla/javascript/tools/debugger/Dim.java toolsrc/org/mozilla/javascript/tools/debugger/Main.java,toolsrc/org/mozilla/javascript/tools/debugger/SourceProvider.java,
520545,20091005071519,RESOLVED,NO,NO,20110223145822,src/org/mozilla/javascript/ScriptableObject.java,,
524931,20091028034624,RESOLVED,NO,NO,20091222192205 20091222193325 20091223140908 20100114121700,testsrc/doctests/524931.doctest xmlimplsrc/org/mozilla/javascript/xmlimpl/XMLList.java xmlimplsrc/org/mozilla/javascript/xmlimpl/XmlNode.java,testsrc/doctests/524931.doctest testsrc/jstests/524931.jstest,
527452,20091109072455,RESOLVED,NO,NO,20091110123620,src/org/mozilla/javascript/ast/StringLiteral.java,,
530947,20091124170606,RESOLVED,NO,NO,20091127195516,src/org/mozilla/javascript/NativeArray.java,,
530997,20091124223914,RESOLVED,NO,NO,20091127201242,src/org/mozilla/javascript/NativeArray.java,,
531436,20091127115541,RESOLVED,NO,NO,20091127204515,src/org/mozilla/javascript/NativeGlobal.java testsrc/org/mozilla/javascript/tests/GlobalParseXTest.java,,
531600,20091128235552,RESOLVED,YES,NO,20110223162755,src/org/mozilla/javascript/optimizer/Codegen.java,,
533920,20091210021814,RESOLVED,NO,NO,20091210150426,src/org/mozilla/javascript/Parser.java,,
535977,20091219104804,RESOLVED,NO,NO,20091222134130,xmlimplsrc/org/mozilla/javascript/xmlimpl/XMLList.java,,
537483,20100101182839,RESOLVED,NO,NO,20100103022145 20110421113856,src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/json/JsonParser.java,testsrc/doctests/json.doctest,
548857,20100226111006,RESOLVED,NO,NO,20111119154919,src/org/mozilla/javascript/DToA.java,,
549604,20100302054041,RESOLVED,NO,NO,20100331151243,src/org/mozilla/javascript/Interpreter.java src/org/mozilla/javascript/JavaScriptException.java src/org/mozilla/javascript/NativeError.java src/org/mozilla/javascript/RhinoException.java src/org/mozilla/javascript/ScriptRuntime.java testsrc/org/mozilla/javascript/tests/StackTraceTest.java testsrc/org/mozilla/javascript/tests/Utils.java,src/org/mozilla/javascript/ScriptStackElement.java testsrc/org/mozilla/javascript/tests/ErrorPropertiesTest.java,
557817,20100407075206,RESOLVED,NO,NO,20100407151727,src/org/mozilla/javascript/Parser.java,,
561514,20100423202908,RESOLVED,NO,NO,20100424040314,src/org/mozilla/javascript/optimizer/Codegen.java,,
565361,20100512103129,RESOLVED,NO,NO,20110223142357,src/org/mozilla/javascript/ast/VariableDeclaration.java,,
567217,20100520140223,RESOLVED,NO,NO,20100602184121,src/org/mozilla/javascript/TokenStream.java,,
568224,20100526081848,RESOLVED,NO,NO,20101124211901,src/org/mozilla/javascript/Decompiler.java,,
576874,20100704090536,RESOLVED,YES,NO,20100704204331,src/org/mozilla/javascript/JavaMembers.java,,
577141,20100706133924,RESOLVED,NO,NO,20110617105550,xmlimplsrc/org/mozilla/javascript/xmlimpl/QName.java,testsrc/jstests/577141.jstest,
