R.3.16.0,20150609
R.3.15.0,20150130
R.3.14.2,20150217
R.3.14.1,20150130
R.3.14.0,20141215
R.3.12.0,20140604
R.3.11.0,20140312
R.3.10.0,20131017
R.3.9.2,20131017
R.3.9.1,20130820
R.3.9.0,20130521
R.3.8.4,20130405
R.3.8.3,20130213
R.3.8.2,20120906
R.3.8.1,20120725
R.3.8.0,20120626
R.3.7.1,20120322
R.3.7.0,20120321
R.3.6.5,20120206
R.3.6.4,20111106
R.3.6.3,20111013
R.3.6.2,20110831
R.3.6.1,20110720
R.3.6.0,20110621
R.3.5.1,20110421
R.3.5.0,20110317
R.3.4.2,20100713
R.3.4.0,20100622
R.3.3.3,20100331
R.3.3.2,20100223
R.3.2.3,20100217
R.3.3.1,20091215
R.3.3.0,20091017
R.3.2.0,20091009
R.3.2.2,20090912
R.3.2.1,20090627
R.3.1.1,20090411
R.3.1.0,20090315
R.3.0.5,20090212
R.3.0.4,20090120
R.3.0.3,20081001
R.3.0.2,20080914
R.3.0.1,20080718
R.3.0.0,20080619
R.2.3.2,20080403
R.2.3.1,20080308
R.2.3.0,20080223
R.2.2.0,20071221
R.2.1.0,20070920
R.1.0.1,20061207
R.0.9.1,20061125
R.1.0,20061116
R.0.7.0,20060918
R.0.6.1,20060731
R.0.6.2,20060822
R.0.5.3,20060612
R.0.5.2,20060526
R.0.5.0,20060406
R.0.4.10,20060317
R.0.4.9,20060221
R.0.4.8,20060127
R.0.4.7,20060113
R.0.4.6.3,20060110
R.0.4.6,20051212
R.0.4.4,20051130
R.0.4.3,20051116
R.0.4.2,20051114
R.0.4.1,20051104
R.0.4.0,20051028
R.0.3.12,20051006
R.0.3.10,20050930
R.0.3.9,20050923
R.0.3.8,20050911
R.0.3.6,20050826
R.0.3.5,20050819
R.0.3.4,20050722
R.0.3.2,20050715
R.0.3.1,20050711
R.0.3.0,20050630
R.0.2.4,20050620
